,precision,recall,f1-score,support
corn_blight,0.8598130841121495,0.92,0.8888888888888888,100.0
corn_common_rust,0.9428571428571428,0.99,0.9658536585365853,100.0
corn_gray_spot,0.9647058823529412,0.82,0.8864864864864865,100.0
corn_healthy,0.970873786407767,1.0,0.9852216748768473,100.0
millet_blast,1.0,1.0,1.0,100.0
millet_healthy,0.9803921568627451,1.0,0.9900990099009901,100.0
millet_rust,1.0,1.0,1.0,100.0
rice_bacterialblight,1.0,1.0,1.0,100.0
rice_brownspot,0.9615384615384616,1.0,0.9803921568627451,100.0
rice_leafsmut,0.9900990099009901,1.0,0.9950248756218906,100.0
sugarcane_healthy,0.9702970297029703,0.98,0.9751243781094527,100.0
sugarcane_mosaic,0.9787234042553191,0.92,0.9484536082474226,100.0
sugarcane_redrot,0.9696969696969697,0.96,0.964824120603015,100.0
sugarcane_rust,0.8666666666666667,0.78,0.8210526315789474,100.0
sugarcane_yellow,0.95,0.95,0.95,100.0
wheat_aphid,0.9120879120879121,0.83,0.8691099476439791,100.0
wheat_black_rust,0.5652173913043478,0.26,0.3561643835616438,100.0
wheat_blast,0.8863636363636364,0.78,0.8297872340425532,100.0
wheat_brown_rust,0.33980582524271846,0.35,0.3448275862068966,100.0
wheat_common_root_rot,0.7976190476190477,0.67,0.7282608695652174,100.0
wheat_fusarium_head_blight,0.8928571428571429,1.0,0.9433962264150944,100.0
wheat_healthy,0.8448275862068966,0.98,0.9074074074074074,100.0
wheat_leaf_blight,0.5384615384615384,0.91,0.6765799256505576,100.0
wheat_mildew,0.9326923076923077,0.97,0.9509803921568627,100.0
wheat_mite,0.6639344262295082,0.81,0.7297297297297297,100.0
wheat_septoria,0.7909090909090909,0.87,0.8285714285714286,100.0
wheat_smut,0.9032258064516129,0.84,0.8704663212435233,100.0
wheat_stem_fly,0.96,0.96,0.96,100.0
wheat_tan_spot,0.43478260869565216,0.3,0.35502958579881655,100.0
wheat_yellow_rust,0.9803921568627451,1.0,0.9900990099009901,100.0
accuracy,0.8616666666666667,0.8616666666666667,0.8616666666666667,0.8616666666666667
macro avg,0.8616280023779427,0.8616666666666667,0.8563943845869325,3000.0
weighted avg,0.8616280023779426,0.8616666666666667,0.8563943845869324,3000.0
