,precision,recall,f1-score,support
wheat_aphid,0.8969072164948454,0.87,0.883248730964467,100.0
wheat_black_rust,0.5777777777777777,0.26,0.3586206896551724,100.0
wheat_blast,0.8627450980392157,0.88,0.8712871287128713,100.0
wheat_brown_rust,0.3364485981308411,0.36,0.34782608695652173,100.0
wheat_common_root_rot,0.7878787878787878,0.78,0.7839195979899497,100.0
wheat_fusarium_head_blight,0.9009009009009009,1.0,0.9478672985781991,100.0
wheat_healthy,0.7903225806451613,0.98,0.875,100.0
wheat_leaf_blight,0.6384615384615384,0.83,0.7217391304347827,100.0
wheat_mildew,0.9207920792079208,0.93,0.9253731343283582,100.0
wheat_mite,0.7272727272727273,0.8,0.7619047619047619,100.0
wheat_septoria,0.9615384615384616,0.75,0.8426966292134831,100.0
wheat_smut,0.9230769230769231,0.84,0.8795811518324608,100.0
wheat_stem_fly,0.9900990099009901,1.0,0.9950248756218906,100.0
wheat_tan_spot,0.4948453608247423,0.48,0.4873096446700508,100.0
wheat_yellow_rust,0.9252336448598131,0.99,0.9565217391304348,100.0
accuracy,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333
macro avg,0.7822867136673765,0.7833333333333333,0.7758613733328936,1500.0
weighted avg,0.7822867136673765,0.7833333333333333,0.7758613733328936,1500.0
